ID,Asset_Type,Object_Group,Tag_Attribute,Equipment_Instrument_Type,Asset_Name,Asset_Description,Tag_Data_Type,IO_Type,DNP3_Point_Number,DNP3_Group_and_Variation,DNP3_Point_Data_Class,MODBUS_Register,Raw_Minimum,Raw_Maximum,Engineering_Minimum,Engineering_Maximum,Analogue_Event_Deviation_Type,Analogue_Deviation,Analogue_Deviation_Unsolicited,Digital_Event_Unsolicited,Default_Value,Site_Specific,MIN_SETPOINT,MAX_SETPOINT,Default_Value_Category,Value_Source,EU,Usage,System_Data_Reference,Hold_Up,Suppression,Component,DNP3_Control_Object,Severity,TREND,OPTIONS,Matched_Tag,RTU_DNP3_EVENT_CLASS,EquipmentType,Testing_Value,Key
3232,SP,CP0001,_krEngH,CP_01Amps,Cathodic Protection,Max,REAL,AI,148,g30v5 32b Floating Point AI Flags,Class 0 (static) <0>,430501,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,A,Scaling,,,,Setpoints,,,Y,K,,L3,STANDARD,100.0,SP_CP0001_krEngH
3233,SP,CP0001,_krEngL,CP_01Amps,Cathodic Protection,Min,REAL,AI,157,g30v5 32b Floating Point AI Flags,Class 0 (static) <0>,430503,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,A,Scaling,,,,Setpoints,,,Y,K,,L3,STANDARD,0.0,SP_CP0001_krEngL
3239,SP,DPM0001,_asFreq,DPM_01,Station Power Meter,Frequency,REAL,AI,20,g30v5 32b Floating Point AI Flags,Class 3 <5>,431301,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,Hz,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asFreq
3240,SP,DPM0001,_asI1Curr,DPM_01,Station Power Meter,I1 Current,REAL,AI,24,g30v5 32b Floating Point AI Flags,Class 3 <5>,431303,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,A,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asI1Curr
3241,SP,DPM0001,_asI1CurrTHD,DPM_01,Station Power Meter,I1 Current THD,REAL,AI,25,g30v5 32b Floating Point AI Flags,Class 3 <5>,431305,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asI1CurrTHD
3242,SP,DPM0001,_asI2Curr,DPM_01,Station Power Meter,I2 Current,REAL,AI,26,g30v5 32b Floating Point AI Flags,Class 3 <5>,431307,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,A,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asI2Curr
3243,SP,DPM0001,_asI2CurrTHD,DPM_01,Station Power Meter,I2 Current THD,REAL,AI,27,g30v5 32b Floating Point AI Flags,Class 3 <5>,431309,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asI2CurrTHD
3244,SP,DPM0001,_asI3Curr,DPM_01,Station Power Meter,I3 Current,REAL,AI,28,g30v5 32b Floating Point AI Flags,Class 3 <5>,431311,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,A,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asI3Curr
3245,SP,DPM0001,_asI3CurrTHD,DPM_01,Station Power Meter,I3 Current THD,REAL,AI,29,g30v5 32b Floating Point AI Flags,Class 3 <5>,431313,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asI3CurrTHD
3246,SP,DPM0001,_asL1PF,DPM_01,Station Power Meter,L1 Power Factor,REAL,AI,36,g30v5 32b Floating Point AI Flags,Class 3 <5>,431321,-1,1,-1,1,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL1PF
3247,SP,DPM0001,_asL1kVA,DPM_01,Station Power Meter,L1 Apparent Power,REAL,AI,33,g30v5 32b Floating Point AI Flags,Class 3 <5>,431315,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kVA,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL1kVA
3248,SP,DPM0001,_asL1kVar,DPM_01,Station Power Meter,L1 Reactive Power,REAL,AI,34,g30v5 32b Floating Point AI Flags,Class 3 <5>,431317,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kVar,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL1kVar
3249,SP,DPM0001,_asL1kW,DPM_01,Station Power Meter,L1 Active Power,REAL,AI,35,g30v5 32b Floating Point AI Flags,Class 3 <5>,431319,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kW,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL1kW
3250,SP,DPM0001,_asL2PF,DPM_01,Station Power Meter,L2 Power Factor,REAL,AI,40,g30v5 32b Floating Point AI Flags,Class 3 <5>,431329,-1,1,-1,1,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL2PF
3251,SP,DPM0001,_asL2kVA,DPM_01,Station Power Meter,L2 Apparent Power,REAL,AI,37,g30v5 32b Floating Point AI Flags,Class 3 <5>,431323,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kVA,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL2kVA
3252,SP,DPM0001,_asL2kVar,DPM_01,Station Power Meter,L2 Reactive Power,REAL,AI,38,g30v5 32b Floating Point AI Flags,Class 3 <5>,431325,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kVar,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL2kVar
3253,SP,DPM0001,_asL2kW,DPM_01,Station Power Meter,L2 Active Power,REAL,AI,39,g30v5 32b Floating Point AI Flags,Class 3 <5>,431327,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kW,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL2kW
3254,SP,DPM0001,_asL3PF,DPM_01,Station Power Meter,L3 Power Factor,REAL,AI,44,g30v5 32b Floating Point AI Flags,Class 3 <5>,431337,-1,1,-1,1,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL3PF
3255,SP,DPM0001,_asL3kVA,DPM_01,Station Power Meter,L3 Apparent Power,REAL,AI,41,g30v5 32b Floating Point AI Flags,Class 3 <5>,431331,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kVA,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL3kVA
3256,SP,DPM0001,_asL3kVar,DPM_01,Station Power Meter,L3 Reactive Power,REAL,AI,42,g30v5 32b Floating Point AI Flags,Class 3 <5>,431333,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kVar,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL3kVar
3257,SP,DPM0001,_asL3kW,DPM_01,Station Power Meter,L3 Active Power,REAL,AI,43,g30v5 32b Floating Point AI Flags,Class 3 <5>,431335,-1000,1000,-1000,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kW,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asL3kW
3258,SP,DPM0001,_asNCurr,DPM_01,Station Power Meter,In Neutral Current,REAL,AI,45,g30v5 32b Floating Point AI Flags,Class 3 <5>,431339,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,A,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asNCurr
3259,SP,DPM0001,_asPh12Volt,DPM_01,Station Power Meter,Phase V1 to V2 Voltage,REAL,AI,59,g30v5 32b Floating Point AI Flags,Class 3 <5>,431341,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,V,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asPh12Volt
3260,SP,DPM0001,_asPh12VoltTHD,DPM_01,Station Power Meter,Phase V1 to V2 Voltage THD,REAL,AI,60,g30v5 32b Floating Point AI Flags,Class 3 <5>,431343,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asPh12VoltTHD
3261,SP,DPM0001,_asPh23Volt,DPM_01,Station Power Meter,Phase V2 to V3 Voltage,REAL,AI,61,g30v5 32b Floating Point AI Flags,Class 3 <5>,431345,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,V,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asPh23Volt
3262,SP,DPM0001,_asPh23VoltTHD,DPM_01,Station Power Meter,Phase V2 to V3 Voltage THD,REAL,AI,62,g30v5 32b Floating Point AI Flags,Class 3 <5>,431347,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asPh23VoltTHD
3263,SP,DPM0001,_asPh31Volt,DPM_01,Station Power Meter,Phase V3 to V1 Voltage,REAL,AI,63,g30v5 32b Floating Point AI Flags,Class 3 <5>,431349,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,V,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asPh31Volt
3264,SP,DPM0001,_asPh31VoltTHD,DPM_01,Station Power Meter,Phase V3 to V1 Voltage THD,REAL,AI,64,g30v5 32b Floating Point AI Flags,Class 3 <5>,431351,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asPh31VoltTHD
3265,SP,DPM0001,_asTotalPF,DPM_01,Station Power Meter,Total Power Factor,REAL,AI,129,g30v5 32b Floating Point AI Flags,Class 3 <5>,431359,-1,1,-1,1,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asTotalPF
3266,SP,DPM0001,_asTotalkVA,DPM_01,Station Power Meter,Total Apparent Power,REAL,AI,126,g30v5 32b Floating Point AI Flags,Class 3 <5>,431353,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kVA,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asTotalkVA
3267,SP,DPM0001,_asTotalkVar,DPM_01,Station Power Meter,Total Reactive Power,REAL,AI,127,g30v5 32b Floating Point AI Flags,Class 3 <5>,431355,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kVar,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asTotalkVar
3268,SP,DPM0001,_asTotalkW,DPM_01,Station Power Meter,Total Active Power,REAL,AI,128,g30v5 32b Floating Point AI Flags,Class 3 <5>,431357,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,kW,,,,,,,,,Y,,AD2,STANDARD,0.0,SP_DPM0001_asTotalkW
3269,SP,DTY0001,_acOprList1,DRV_02Dty,Pump Duty Rotation,Priority 1 Pump Number,INT,AO,33,g30v2 16b Int AO Flags,Class 2 <3>,,0,100000,0,100000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,1,2,,,,Duty controls,,,,Station.Control,,,Y,Standard,,AD1,STANDARD,0,SP_DTY0001_acOprList1
3270,SP,DTY0001,_acOprList2,DRV_02Dty,Pump Duty Rotation,Priority 2 Pump Number,INT,AO,34,g30v2 16b Int AO Flags,Class 2 <3>,,0,100000,0,100000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,1,2,,,,Duty controls,,,,Station.Control,,,Y,Standard,,AD1,STANDARD,1,SP_DTY0001_acOprList2
3271,SP,DTY0001,_acOprList3,DRV_02Dty,Pump Duty Rotation,Priority 3 Pump Number,INT,AO,35,g30v2 16b Int AO Flags,Class 2 <3>,,0,100000,0,100000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,,Duty controls,,,,Station.Control,,,Y,X,,AD1,STANDARD,2,SP_DTY0001_acOprList3
3272,SP,DTY0001,_acSpHr,DRV_02Dty,Pump Duty Rotation,Time Setpoint,INT,AO,50,g30v2 16b Int AO Flags,Class 2 <3>,,0,23,0,23,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,0,23,,,Hr,Duty controls,,,,Station.Control,,,Y,Standard,,AD1,STANDARD,8,SP_DTY0001_acSpHr
3273,SP,DTY0001,_acSpRunHrs,DRV_02Dty,Pump Duty Rotation,Run Hours Setpoint,DINT,AO,64,g40v1 32b Int AO Flags,Class 2 <3>,,0,100000,0,100000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,0,36,,,Hr,Duty controls,,,,Station.Control,,,Y,Standard,,AD1,STANDARD,24,SP_DTY0001_acSpRunHrs
3274,SP,DTY0001,_asOprList1,DRV_02Dty,Pump Duty Rotation,Priority 1 Device Status,INT,AI,54,g30v2 16b Int AI Flags,Class 2 <3>,,0,100000,0,100000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,,,,,,Station.Control,,,Y,Standard,,AD1,STANDARD,0,SP_DTY0001_asOprList1
3275,SP,DTY0001,_asOprList2,DRV_02Dty,Pump Duty Rotation,Priority 2 Device Status,INT,AI,55,g30v2 16b Int AI Flags,Class 2 <3>,,0,100000,0,100000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,,,,,,Station.Control,,,Y,Standard,,AD1,STANDARD,0,SP_DTY0001_asOprList2
3276,SP,DTY0001,_asOprList3,DRV_02Dty,Pump Duty Rotation,Priority 3 Device Status,INT,AI,56,g30v2 16b Int AI Flags,Class 2 <3>,,0,100000,0,100000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,,,,,,Station.Control,,,Y,X,,AD1,STANDARD,0,SP_DTY0001_asOprList3
3277,SP,DTY0001,_asRunHrs,DRV_02Dty,Pump Duty Rotation,Duty Run Hours,DINT,AI,105,g30v1 32b Int AI Flags,Class 2 <3>,,0,100000,0,100000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,Hr,,,,,Statistics,,,Y,Standard,,AD1,STANDARD,0,SP_DTY0001_asRunHrs
3279,SP,DTY0001,_dcLoad,DRV_02Dty,Pump Duty Rotation,Load List,BOOL,DO,17,g10v2 Binary Output with Flags,Class 0 (static) <0>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,Manual control,,,,Station.Control,,A5,Y,Standard,,A5 (D),STANDARD,FALSE,SP_DTY0001_dcLoad
3280,SP,DTY0001,_dsRunAlmH,DRV_02Dty,Pump Duty Rotation,Duty Run High Alarm,BOOL,DI,232,g1v2 Binary Input with Flags,Class 3 <5>,152822,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A5,Y,Standard,Made up,A5,STANDARD,FALSE,SP_DTY0001_dsRunAlmH
3287,SP,ETR0001,_dcEtrFltRst,ZS_01b,Electrode Test,Fault Reset,BOOL,DO,10,g10v2 Binary Output with Flags,Class 0 (static) <0>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,Electrode test,,,,Alarms,,A5,Y,Standard,,A5 (D),STANDARD,FALSE,SP_ETR0001_dcEtrFltRst
3288,SP,ETR0001,_dcSCCFltRst,SCC_01,Station SCC,Fault Reset,BOOL,DO,43,g10v2 Binary Output with Flags,Class 0 (static) <0>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,Electrode test,,,,Alarms,,A5,Y,Standard,,A5 (D),STANDARD,FALSE,SP_ETR0001_dcSCCFltRst
3289,SP,ETR0001,_dcSCCUntestedRst,SCC_01,Station SCC,Untested Reset,BOOL,DO,44,g10v2 Binary Output with Flags,Class 0 (static) <0>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,Switchboard Indoor/ Outdoor,,,,Alarms,,A5,Y,Standard,,A5 (D),STANDARD,FALSE,SP_ETR0001_dcSCCUntestedRst
3291,SP,ETR0001,_dsEtrTest,ZS_01b,Electrode Test,Running,BOOL,DI,103,g1v2 Binary Input with Flags,Class 3 <5>,126801,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,ROOT,,A5,Y,Standard,Alarm Rationalisation.BRISBANE.Sewage_pumping_station.Electrode Test Active,A5,STANDARD,FALSE,SP_ETR0001_dsEtrTest
3292,SP,ETR0001,_dsEtrTestFlt,ZS_01b,Electrode Test,Failed,BOOL,DI,110,g1v2 Binary Input with Flags,Class 3 <5>,126802,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,LATCHED,,Alarms,,A4,Y,Standard,Alarm Rationalisation.BRISBANE.Sewage_pumping_station.Electrode Test Failed,A4,STANDARD,FALSE,SP_ETR0001_dsEtrTestFlt
3293,SP,ETR0001,_dsSCCTest,SCC_01,Station SCC,Running,BOOL,DI,241,g1v2 Binary Input with Flags,Class 3 <5>,126803,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Status,,A5,Y,Standard,Alarm Rationalisation.BRISBANE.Sewage_pumping_station.Emergency_pumping_test_active,A5,STANDARD,FALSE,SP_ETR0001_dsSCCTest
3294,SP,ETR0001,_dsSCCTestFlt,SCC_01,Station SCC,Failed,BOOL,DI,242,g1v2 Binary Input with Flags,Class 3 <5>,126804,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A4,Y,Standard,Alarm Rationalisation.BRISBANE.Sewage_pumping_station.Emergency_pumping_test_fail,A4,STANDARD,FALSE,SP_ETR0001_dsSCCTestFlt
3295,SP,ETR0001,_dsSCCUntested,SCC_01,Station SCC,Untested,BOOL,DI,243,g1v2 Binary Input with Flags,Class 3 <5>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A4,Y,Standard,Made up,A4,STANDARD,FALSE,SP_ETR0001_dsSCCUntested
3334,SP,EXP01,_dsIOFlt,EXP01,Expansion Module 1,IO Fault,BOOL,DI,161,g1v2 Binary Input with Flags,Class 3 <5>,119026,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A5,Y,Standard,Made up,A5,STANDARD,FALSE,SP_EXP01_dsIOFlt
3368,SP,EXP02,_dsIOFlt,EXP02,Expansion Module 2,IO Fault,BOOL,DI,162,g1v2 Binary Input with Flags,Class 3 <5>,119027,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A5,Y,Standard,Made up,A5,STANDARD,FALSE,SP_EXP02_dsIOFlt
3369,SP,FIC0001,_acAutoSP,FIC_01,Flow Controller,PID Auto Setpoint,REAL,AO,7,g40v3 32b Floating Point AO Flags,Class 2 <3>,459051,0,1000,0,1000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,l/s,Setpoint initialisation,,,,Setpoints,,,Y,H1||H2,,AD1,STANDARD,50.0,SP_FIC0001_acAutoSP
3370,SP,FIC0001,_acManOut,FIC_01,Flow Controller,PID Manual Output Setpoint,REAL,AO,28,g40v3 32b Floating Point AO Flags,Class 2 <3>,,0,1000,0,1000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,%,Setpoint initialisation,,,,Setpoints,,,Y,H1||H2,,AD1,STANDARD,50.0,SP_FIC0001_acManOut
3371,SP,FIC0001,_acSpKp,FIC_01,Flow Controller,PID Proportional Gain Setpoint,REAL,AO,51,g40v3 32b Floating Point AO Flags,Class 2 <3>,,0,1000,0,1000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,-,Setpoint initialisation,,,,Setpoints,,,Y,H1||H2,,AD1,STANDARD,1.0,SP_FIC0001_acSpKp
3372,SP,FIC0001,_acSpTd,FIC_01,Flow Controller,PID Derivative Gain Setpoint,REAL,AO,65,g40v3 32b Floating Point AO Flags,Class 2 <3>,,0,1000,0,1000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,-,Setpoint initialisation,,,,Setpoints,,,Y,H1||H2,,AD1,STANDARD,0.0,SP_FIC0001_acSpTd
3373,SP,FIC0001,_acSpTi,FIC_01,Flow Controller,PID Integral Time Setpoint,REAL,AO,67,g40v3 32b Floating Point AO Flags,Class 2 <3>,,0,1000,0,1000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,Sec,Setpoint initialisation,,,,Setpoints,,,Y,H1||H2,,AD1,STANDARD,0.5,SP_FIC0001_acSpTi
3374,SP,FIC0001,_asOut,FIC_01,Flow Controller,PID Output,REAL,AI,57,g30v5 32b Floating Point AI Flags,Class 2 <3>,459001,0,1000,0,1000,Percentage of Span <0>,1,Disabled <0>,Disabled <0>,,,,,,,%,,,,,ROOT,,,Y,H1||H2,,AD1,STANDARD,0.0,SP_FIC0001_asOut
3375,SP,FIC0001,_dcAuto,FIC_01,Flow Controller,PID Auto Mode Request,BOOL,DO,1,g10v2 Binary Output with Flags,Class 0 (static) <0>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,Control mode request,,,,Status,,A5,Y,H1||H2,,A5 (D),STANDARD,FALSE,SP_FIC0001_dcAuto
3376,SP,FIC0001,_dcCas,FIC_01,Flow Controller,PID Cascade Mode Request,BOOL,DO,9,g10v2 Binary Output with Flags,Class 0 (static) <0>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,Control mode request,,,,Status,,A5,Y,H1||H2,,A5 (D),STANDARD,FALSE,SP_FIC0001_dcCas
3377,SP,FIC0001,_dcMan,FIC_01,Flow Controller,PID Manual Mode Request,BOOL,DO,18,g10v2 Binary Output with Flags,Class 0 (static) <0>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,Control mode request,,,,Status,,A5,Y,H1||H2,,A5 (D),STANDARD,FALSE,SP_FIC0001_dcMan
3378,SP,FIC0001,_dsAuto,FIC_01,Flow Controller,PID Auto Mode Status,BOOL,DI,49,g1v2 Binary Input with Flags,Class 3 <5>,159001,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Status,,A5,Y,H1||H2,Made up,A5,STANDARD,FALSE,SP_FIC0001_dsAuto
3379,SP,FIC0001,_dsCas,FIC_01,Flow Controller,PID Cascade Mode Status,BOOL,DI,68,g1v2 Binary Input with Flags,Class 3 <5>,159002,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Status,,A5,Y,H1||H2,Made up,A5,STANDARD,FALSE,SP_FIC0001_dsCas
